id;username;nama;password;role;saldo
ADMIN001;admin;admin;tspzg;admin;999999
USER001;GomuGomu;Monkey D. Luffy;z_tp_nvg_rxs;user;49400000
USER002;BestSwordsman;Roronoa Zoro;3NdxwsNelyjUU;user;90000
USER003;BaekYiJin;Baek Yi Jin;gtijjsx;user;2000
USER004;harrystyles;Harry Styles;l0v4wji0pj;user;502000
USER005;Zhongli;Zhongli;pxwt-99999;user;0
USER006;tommyshelby;Thomas Shelby;ojthlaxxhzgkyzgsjwn;user;1000000
USER007;thewitcher;Geralt;wzmzt;user;200000
USER008;yagami_light;Light Yagami;sjtei-gxej-444;user;0
USER009;nezuko_kawaii;Nezuko;e4gqzs0wUU;user;0
USER010;anyaforger;Anya Forger;ojtgven;user;0
USER011;carissa;Carissa;btwznnt;user;300000
USER012;kent;Kent;hjge;user;0
USER013;ryaas;Ryaas;wlttn;user;0
USER014;ryaas_01;Ryaas;totlt;user;0
