id;username;nama;password;role;saldo
ADMIN001;admin;admin;tspzg;admin;999999
USER001;GomuGomu;Monkey D. Luffy;z_tp_nvg_rxs;user;50000000
USER002;BestSwordsman;Roronoa Zoro;3NdxwsNelyjUU;user;90000
USER003;BaekYiJin;Baek Yi Jin;gtijjsx;user;100000
USER004;harrystyles;Harry Styles;l0v4wji0pj;user;502000
USER005;Zhongli;Zhongli;pxwt-99999;user;0
USER006;tommyshelby;Thomas Shelby;ojthlaxxhzgkyzgsjwn;user;1000000
USER007;thewitcher;Geralt;wzmzt;user;200000
USER008;yagami_light;Light Yagami;sjtei-gxej-444;user;0
USER009;nezuko_kawaii;Nezuko;e4gqzs0wUU;user;0
